year,complaint_type,num_complaints
2017,DFTA Literature Request,5
2010,Trans Fat,5
2015,Tanning,5
2015,Advocate - Other,5
2013,Standpipe - Mechanical,5
2015,Radioactive Material,5
2013,Trans Fat,4
2016,Advocate-Commercial Exemptions,4
2012,GENERAL,4
2017,NORC Complaint,4
2018,Pet Shop,4
2010,X-Ray Machine/Equipment,4
2011,DCA Literature Request,4
2014,Trans Fat,4
2014,Tanning,4
2010,Hazardous Material,4
2018,Request Xmas Tree Collection,4
2015,Squeegee,4
2011,Rangehood,4
2013,Rangehood,4
2017,Fire Alarm - Replacement,4
2018,Drinking Water,4
2016,NORC Complaint,4
2015,Interior Demo,4
2012,NORC Complaint,4
2012,Public Assembly - Temporary,4
2013,Hazmat Storage/Use,4
2017,SRDE,4
2017,SRGDBR,4
2011,ATF,3
2012,Comment,3
2014,Standpipe - Mechanical,3
2014,Literature Request,3
2015,Building Condition,3
2018,Plant,3
2011,Fire Alarm - Replacement,3
2011,Tunnel Condition,3
2015,Public Assembly - Temporary,3
2018,Unsanitary Animal Facility,3
2017,Building Condition,3
2018,Legal Services Provider Complaint,3
2016,Trans Fat,3
2018,Illegal Fireworks,3
2011,Trans Fat,3
2014,NORC Complaint,3
2018,Misc. Comments,3
2018,Comments,3
2018,Advocate-Co-opCondo Abatement,3
2013,Public Assembly - Temporary,3
2017,Public Assembly - Temporary,3
2018,Bereavement Support Group,3
2017,Trans Fat,3
2017,AGENCY,3
2017,Stalled Sites,3
2018,Special Natural Area District (SNAD),3
2015,Standpipe - Mechanical,3
2018,Highway Sign - Damaged,3
2012,Tunnel Condition,3
2018,Fire Alarm - Reinspection,3
2012,Hazmat Storage/Use,3
2016,Request Xmas Tree Collection,3
2016,Interior Demo,3
2018,Public Toilet,2
2014,FATF,2
2018,Case Management Agency Complaint,2
2018,Standpipe - Mechanical,2
2015,NORC Complaint,2
2017,Squeegee,2
2018,Advocate-Commercial Exemptions,2
2014,VACANT APARTMENT,2
2011,Open Flame Permit,2
2016,Advocate-Business Tax,2
2016,Construction,2
2011,Portable Toilet,2
2016,VACANT APARTMENT,2
2018,Rangehood,2
2018,Disorderly Youth,2
2016,Laboratory,2
2014,Rangehood,2
2018,Illegal Animal Sold,2
2018,Ferry Permit,2
2015,DPR Literature Request,2
2013,Sweeping/Missed,2
2013,DHS Advantage - Third Party,2
2018,Bike Rack Condition,2
2015,Forensic Engineering,2
2014,AGENCY,2
2011,Building Condition,2
2011,Forms,2
2014,Squeegee,2
2018,Harboring Bees/Wasps,2
2018,Animal Facility - No Permit,2
2016,AGENCY,2
2017,VACANT APARTMENT,2
2017,Advocate - RPIE,2
2018,Research Questions,2
2018,Highway Sign - Missing,2
2014,Building Condition,2
2018,Lifeguard,2
2012,Teaching/Learning/Instruction,2
2016,Advocate-SCRIE/DRIE,2
2018,Adopt-A-Basket,2
2013,Squeegee,2
2015,VACANT APARTMENT,2
2015,Advocate - RPIE,1
2016,LEAD,1
2012,DPR Internal,1
2018,Interior Demo,1
2010,Trapping Pigeon,1
2013,Literature Request,1
2010,Sewer Maintenance,1
2015,AGENCY,1
2018,Sprinkler - Mechanical,1
2018,Fire Alarm - Modification,1
2017,Advocate-Business Tax,1
2017,Healthcare Facilities,1
2016,Gas Station Discharge Lines,1
2014,HEAP Assistance,1
2016,Trapping Pigeon,1
2017,Advocate - Levy,1
2018,EAP Inspection - F59,1
2018,Window Guard,1
2013,FATF,1
2017,CST,1
2012,PAINT/PLASTER,1
2011,Eviction,1
2011,Benefit Card Replacement,1
2012,Unlicensed Dog,1
2011,Micro Switch,1
2011,Interior Demo,1
2018,Elevator,1
2018,Poison Ivy,1
2017,Advocate-SCRIE/DRIE,1
2018,Select Message Type...,1
2012,DOF Parking - Address Update,1
2016,Advocate - RPIE,1
2015,Laboratory,1
2017,SRGDM,1
2016,Asbestos/Garbage Nuisance,1
2016,Stalled Sites,1
2018,Advocate-Property Value,1
2013,Portable Toilet,1
2017,Advocate - Lien,1
2014,Gas Station Discharge Lines,1
2018,Miscellaneous Categories,1
2011,Hazmat Storage/Use,1
2018,Radioactive Material,1
2014,SG-99,1
2012,Portable Toilet,1
2011,Public Assembly - Temporary,1
2015,Gas Station Discharge Lines,1
2013,NORC Complaint,1
2011,Standpipe - Mechanical,1
2018,Highway Sign - Dangling,1
2013,SNW,1
2015,Advocate-Prop Class Incorrect,1
2015,Advocate-Commercial Exemptions,1
2018,Fire Alarm - Replacement,1
2017,Sidewalk Cafe Heater,1
2018,Standing Water,1
2015,Unspecified,1
2012,DEP Literature Request,1
2018,Hazmat Storage/Use,1
2018,FATF,1
2016,Building Condition,1
2014,Meals Home Delivery Required,1
2016,MOLD,1
2018,Tanning,1
2011,NORC Complaint,1
