id,name,rating,address,city,lat-long
565,hongry-kong-belmont-2,3.5,,      Belmont,37.5240325927734-122.279075622558
566,marina-food-san-mateo,3,2992 S Norfolk St,      San Mateo,37.5444118546376-122.284796650842
567,cooking-papa-restaurant-foster-city,3.5,949A Edgewater Blvd,      Foster City,37.5446131174646-122.270425803511
568,sheng-kee-bakery-san-mateo-2,3,2964 S Norfolk St,      San Mateo,37.5452652-122.284477099999
569,eat-on-monday-mountain-view-3,4.5,,      Mountain View,37.3931694030762-122.085517883301
570,pho-little-saigon-san-mateo,3,2978 S Norfolk St,      San Mateo,37.5445885811679-122.284968805751
571,myung-dong-tofu-cabin-san-mateo,3.5,2968 S Norfolk St,      San Mateo,37.5447841763127-122.284946071312
572,bagel-street-cafe-redwood-city,3,254 Redwood Shores Pkwy,      Redwood City,37.5224668331409-122.251625135719
573,east-14th-bakery-and-cafe-san-leandro-3,3.5,1780 E 14th St,      San Leandro,37.7215444-122.1509912
574,tapioca-express-san-leandro,3.5,129 W Joaquin Ave,      San Leandro,37.7239999-122.15511
575,quickly-san-leandro,2.5,15251 Hesperian Blvd,      San Leandro,37.6978340148926-122.130355834961
576,sweethoney-dessert-san-leandro-3,3.5,1423 E 14th St,      San Leandro,37.7240845354245-122.154812393848
577,hanoi-chicken-noodle-san-leandro,3.5,13720 Doolittle Dr,      San Leandro,37.69982-122.175639999999
578,loving-tea-san-leandro,2,1338 Fairmont Dr,      San Leandro,37.7026172-122.1272393
579,cafe-sorriso-san-leandro,4,1501 Washington Ave,      San Leandro,37.7228-122.155194
580,d-t-dim-sum-and-tea-san-leandro,3.5,1970 Lewelling Blvd,      San Leandro,37.6799806952477-122.154671028255
581,milk-and-cookie-bar-castro-valley-3,4.5,18911 Lake Chabot Rd,      Castro Valley,37.70864-122.091339999999
582,sweet-dee-cupcakes-and-snow-ice-san-leandro,4,109 Pelton Ctr Way,      San Leandro,37.7229449751301-122.153543170361
583,quickly-san-lorenzo,3.5,17940 Hesperian Blvd,      San Lorenzo,37.6729889960688-122.122139773525
584,tapioca-express-alameda,3.5,2306 Encinal Ave,      Alameda,37.76273-122.24497
585,leisure-cafe-san-leandro-2,2.5,1443 E 14th St,      San Leandro,37.7236583501576-122.154530547558
586,quickly-castro-valley,3,20893 Redwood Rd,      Castro Valley,37.6947791129351-122.073979452252
587,china-kitchen-express-san-leandro,2,13780 E 14th St,      San Leandro,37.7154007-122.1423264
588,pho-an-hoa-san-leandro,3.5,14391 Washington Ave,      San Leandro,37.702842-122.142028
589,tuttimelon-alameda,3.5,2402 Central Ave,      Alameda,37.76394-122.24266
590,banh-mi-ba-le-oakland,4.5,1909 International Blvd,      Oakland,37.78606-122.24101
591,pokeatery-castro-valley,4.5,18911 Lake Chabot Rd,      Castro Valley,37.70864-122.091339999999
592,hot-spot-alameda,3.5,2321 Santa Clara Ave,      Alameda,37.765703473918-122.242378592491
593,worlds-fare-donuts-hayward,4.5,20770 Hesperian Blvd,      Hayward,37.6651882648286-122.116480568499
594,taqueria-los-pericos-san-leandro,4,1389 E 14th St,      San Leandro,37.72437-122.155085
595,pho-anh-ha-san-leandro,3.5,2089 E 14th St,      San Leandro,37.71929-122.14865
596,craw-station-san-leandro,3.5,15040 Farnsworth St,      San Leandro,37.6906647206597-122.151571007974
597,r-and-d-cafe-san-lorenzo,4,15813 Channel St,      San Lorenzo,37.6770314768334-122.142561774295
598,munch-hayward,4,27560 Tampa Ave,      Hayward,37.631869-122.075384
599,foodnet-supermarket-san-leandro-2,3.5,1960 Lewelling Blvd,      San Leandro,37.6795-122.154789999999
600,yo-bowl-hayward,4,8 Southland Mall,      Hayward,37.651128-122.101295999999
601,yogurt-hill-hayward-4,4,1081 B St,      Hayward,37.67355-122.081139999999
602,alohana-hawaiian-grill-san-leandro,3,15555 E 14th St,      San Leandro,37.7001159999999-122.126858
